paper,auction setting,mechanism class,IC/IR guarantee,learning method,dynamic or static,handles combinatorial items?,main limitation,relation to ourwork
"Myerson (1981), Optimal Auction Design","single item; private values","virtual valuation / optimal auction characterization","exact IC under the model; IR via optimal auction construction","analytical characterization","static","No; single item benchmark","Does not solve general multi-bidder multi-item combinatorial revenue-optimal auctions","Classical baseline: explains why multi-item revenue-optimal design remains hard and why ourwork should not claim full optimality"
"Vickrey (1961); Clarke (1971); Groves (1973), VCG","general allocation with quasilinear utilities","efficient VCG mechanism","exact DSIC and IR under standard assumptions","analytical mechanism design","static; dynamic variants exist separately","Yes in principle, if allocation optimization is solved","Revenue can be suboptimal; static VCG does not adapt parameters for revenue","Ourwork inherits the VCG-style externality logic through AMA but tunes affine parameters for revenue"
"Roberts (1979), implementable choice rules","social choice / unrestricted domains","affine maximizer characterization","AMA form is DSIC when weights are positive","theoretical characterization","static","Relevant to combinatorial settings but assumptions matter","Not a revenue-learning method; characterization does not solve dynamic tuning","Provides the structural reason AMA can be used as the exact-DSIC shell"
"Likhodedov and Sandholm (2004/2005); Sandholm and Likhodedov (2015), AMA revenue boosting","combinatorial auctions","Affine Maximizer Auctions","exact DSIC/IR by AMA structure","search / offline optimization of AMA parameters","static","Yes","Offline/static distributional optimization; not an RL policy over repeated market states","Closest classical precursor to tuning AMA parameters for revenue"
"Dutting et al. (2019), Optimal Auctions through Deep Learning / RegretNet","multi-bidder multi-item auctions","neural allocation and payment networks","approximate IC via empirical regret; IR built into architecture","deep learning with augmented Lagrangian regret minimization","static","Yes","High flexibility but not exact DSIC by construction; regret is empirical/approximate","Main contrast: ourwork sacrifices arbitrary mechanism flexibility to preserve per-round exact DSIC through AMA"
"RochetNet / MenuNet (Dutting et al.; Shen et al.)","mostly single-bidder multi-item settings","menu / convex utility architectures","strategyproof by construction in target setting","neural architecture learning","static","Single-bidder multi-item; limited multi-bidder support","Does not directly cover general multi-bidder combinatorial auctions","Shows architecture-level truthfulness is possible, but does not address repeated AMA parameter tuning"
"Curry, Sandholm, and Dickerson (2022), Differentiable Economics for Randomized AMAs","multi-bidder multi-item auctions","Lottery Affine Maximizer Auctions","always strategyproof by AMA/lottery AMA structure; IR in mechanism design setting","gradient-based differentiable economics","static","Yes","AMA may not represent optimal mechanism; focus is static training rather than repeated RL adaptation","Very close near neighbor: ourwork should position itself as dynamic/RL tuning of AMA parameters, not first AMA learning"
"Duan et al. (2023), AMenuNet","multi-item auctions; contextual and non-contextual settings","neural generation of AMA parameters and allocation menu","exact DSIC/IR due to AMA properties","permutation-equivariant neural network training","static","Yes","Focuses on scalable static DSIC auction design, not dynamic repeated revenue tuning","Shows exact-DSIC neural AMA design already exists; ourwork's gap must be dynamic/RL"
"Duan et al. (2024), OD-VVCA","deterministic multi-item auctions","Virtual Valuations Combinatorial Auctions, a subset of AMAs","inherently DSIC and IR","objective decomposition; DP plus optimization","static","Yes","Deterministic/static design; not a repeated RL mechanism","Another exact-DSIC static AMA-family baseline to compare against"
"Sun et al. (2026), CA-AMA","single-item and multi-item auctions; correlated bidder valuations","AMA plus correlation-aware payment term depending on other bidders' valuations","DSIC preserved; IR handled as constraint/post-processing","two-stage data-driven optimization","static","Yes in experiments","Targets correlated valuation expressiveness; not a dynamic RL framework","Important limitation/future work: ourwork's classic AMA may be weak under correlated valuations"
"Athey and Segal (2013), An Efficient Dynamic Mechanism","general dynamic environments with private information","dynamic team / balanced team mechanisms","ex post IC or Bayesian IC under assumptions; budget balance under independent types","analytical dynamic mechanism design","dynamic","General allocation, not specifically combinatorial auction revenue learning","Focuses on efficiency and budget balance, not deep RL revenue tuning","Shows dynamic IC is subtle; ourwork should distinguish per-round DSIC from full dynamic IC"
"Shen et al. (2017), Reinforcement Mechanism Design","sponsored search / dynamic pricing","GSP-like auction with learned reserve prices","Not primarily exact DSIC; data-driven bidder behavior model","reinforcement learning / MDP optimization","dynamic","No; sponsored search/reserve pricing","Domain-specific and not exact-DSIC combinatorial AMA","Shows RL has already been used for auction mechanism parameters, so ourwork should not claim first RL auction mechanism"
"Qiu et al. (2022), Learning Dynamic Mechanisms in Unknown Environments","dynamic mechanism design in unknown episodic MDP","dynamic VCG mechanism","truthfulness/efficiency connected to dynamic VCG; regret guarantees","online RL with linear function approximation","dynamic","General dynamic allocation; not focused on combinatorial revenue AMA","Focuses on learning dynamic VCG in unknown MDPs, not revenue-oriented AMA tuning","Closest dynamic VCG/RL theory neighbor; helps define what ourwork is not"
"Leon and Etesami (2025), Online Learning for Dynamic VCG Mechanism","sequential auctions in unknown infinite-horizon MDP","dynamic VCG counterpart","approximately satisfies efficiency, truthfulness, and IR with learning guarantees","online RL","dynamic","Sequential auctions; not specifically AMA combinatorial revenue tuning","Emphasis on dynamic VCG and efficiency/regret, not learned affine revenue parameters","Must be cited to avoid overclaiming dynamic RL mechanism novelty"
"Ravindranath et al. (2024), Deep RL for Sequential Combinatorial Auctions","sequential combinatorial auctions","sequential auction mechanisms","sequential mechanisms have strategyproofness guarantees in their setting","DRL leveraging first-order gradients; compared with PPO/SAC","dynamic/sequential","Yes; scales to large agent/item counts","Does not frame the mechanism as per-round AMA parameter tuning; exact guarantee depends on their sequential mechanism class","Most important RL + sequential combinatorial auction comparator"
"OURWORK, HRL-AMA","repeated combinatorial auctions with budgets/non-stationarity","Affine Maximizer Auction with RL-tuned parameters; proposed HRL controller","per-round exact DSIC/IR if parameters fixed before bids and weights positive; not full dynamic IC","Flat DRL / proposed hierarchical RL over AMA parameters","dynamic/repeated","Yes for small n,m via exact allocation enumeration","Current evidence mainly Flat DRL; HRL advantage needs experiments; cross-round IC and scalability remain open","Position as dynamic revenue tuning inside exact-DSIC AMA parameter space"
